sale_price,on_sale,sku
7357.50,1,1237356-005
7350.00,1,1300303-005
7290.00,,1179284-005
7282.50,1,1298362-005
7282.50,1,1308841-005
7275.00,1,1120452-005
7275.00,1,1211880-666
7267.50,1,1298351-005
7200.00,1,1300296-305
7188.75,1,1286777-005
7162.50,1,1299425-005
7087.50,,1190070-005
7087.50,,1273238-005
7087.50,,1273239-005
7087.50,,1273240-005
7087.50,,1273241-005
7080.00,,1179276-2819
7050.00,,1296725-005
7050.00,,1314169-005
7031.25,,1179555-666
7020.00,,1243535-005
7020.00,,1321613-005
7016.25,,1316601-005
7012.50,,1296756-005
6967.50,,1176306-005
6960.00,,1232947-005
6862.50,1,1317340-666
6825.00,1,1225526-005
6825.00,1,1227842-005
6825.00,1,1227843-005
6825.00,1,1283312-011
6825.00,1,1283312-013
6825.00,1,1296791-005
6787.50,1,1286525-666
6787.50,1,1286525-670
6761.25,1,1217400-005
6750.00,1,1237369-005
6750.00,1,1288730-005
6712.50,1,1326411-2822
6682.50,1,1276149-005
6675.00,1,1214613-005
6641.25,1,1317225-005
6596.25,1,1217385-005
6562.50,1,1298339-005
6558.75,,1103216-011
6558.75,,1103216-012
6558.75,,1103216-013
6558.75,,1103216-014
6558.75,,1103216-015
6547.50,,1179279-005
6525.00,1,1103089-005
6525.00,1,1103090-005
6525.00,1,1166986-666
6525.00,1,1299396-005
6525.00,1,1299406-005
6506.25,1,1235015-005
6487.50,1,1286404-005
6487.50,1,1302432-005
6480.00,,1126747-005
6472.50,,1312985-669
6472.50,,1317333-005
6472.50,,1317334-666
6472.50,,1321505-2819
6472.50,,1321509-2818
6472.50,,1323403-2817
6450.00,1,1276136-005
6450.00,1,1299416-005
6450.00,1,1300270-005
6438.75,1,1321605-670
6412.50,1,1184834-005
6382.50,1,1106890-005
6375.00,1,1133234-005
6375.00,1,1323430-005
6375.00,1,1326104-005
6337.50,,1190092-005
6337.50,,1214565-005
6337.50,,1235032-005
6337.50,,1256787-012
6337.50,,1256787-013
6337.50,,1257440-666
6337.50,,1257440-670
6330.00,,1182285-011
6330.00,,1182285-013
6322.50,,1214598-005
6315.00,,1281427-005
6300.00,,1286396-005
6300.00,,1287592-670
6300.00,,1326100-666
6292.50,,1228136-005
6262.50,,1286405-005
6262.50,,1286406-005
6251.25,,1291994-012
6251.25,,1291994-014
6251.25,,1291994-016
6153.00,,1311114-005
6135.00,1,1317204-005
6097.50,,1317229-005
6090.00,,1254989-005
6082.50,1,1211906-005
6075.00,1,1187684-2819
6075.00,1,1187685-2818
6075.00,1,1187685-2819
6075.00,1,1302447-305
6075.00,1,1302447-311
6052.50,1,1238033-005
6048.75,1,1235021-005
6048.75,1,1235022-005
6037.50,1,1292059-670
6030.00,,1291991-011
6030.00,,1291991-013
6030.00,,1291991-015
6030.00,,1291991-016
6000.00,1,1311115-005
5985.00,1,1061984-010
5985.00,1,1061984-011
5985.00,1,1061984-012
5985.00,1,1061984-013
5985.00,1,1061984-014
5985.00,1,1100919-666
5985.00,1,1100919-670
5962.50,1,1296744-005
5947.50,,1323894-005
5925.00,1,1183549-011
5925.00,1,1183549-012
5925.00,1,1183549-013
5925.00,1,1257442-666
5925.00,1,1257442-670
5925.00,1,1312959-005
5895.00,1,1292622-005
5887.50,1,1256759-2818
5887.50,1,1256759-2819
5887.50,1,1256759-2822
5872.50,,1232950-005
5872.50,,1244975-2819
5872.50,,1244975-2822
5857.50,1,1286453-2845
5857.50,1,1286453-2846
5857.50,1,1286453-2847
5857.50,1,1286453-2848
5857.50,1,1286453-2849
5857.50,1,1286453-2850
5857.50,1,1286453-2851
5857.50,1,1286453-2852
5857.50,1,1286453-2853
5857.50,1,1286453-2854
5857.50,1,1286453-2855
5857.50,1,1286453-2856
5850.00,1,1243537-005
5827.50,1,1317339-005
5823.75,1,1316029-005
5812.50,1,1299415-005
5801.25,,1317227-005
5790.00,,1257444-666
5790.00,,1257444-670
5782.50,1,1317226-005
5737.50,1,1257013-010
5737.50,1,1257013-011
5737.50,1,1257013-012
5737.50,1,1257013-013
5737.50,1,1296743-005
5715.00,,1245724-005
5700.00,1,1196406-670
5696.25,1,1313024-005
5662.50,1,1299410-005
5662.50,1,1312453-010
5662.50,1,1312453-011
5662.50,1,1312453-012
5662.50,1,1312453-013
5651.25,,1179552-666
5651.25,,1179552-670
5647.50,,1297322-005
5647.50,,1297323-005
5628.75,1,1076107-010
5628.75,1,1076107-011
5628.75,1,1076107-012
5628.75,1,1076107-013
5628.75,1,1076107-014
5628.75,1,1076107-015
5628.75,1,1313001-005
5625.00,1,1164107-005
5625.00,1,1256774-2819
5625.00,1,1286458-005
5625.00,1,1287607-005
5625.00,1,1323431-005
5617.50,,1280690-005
5595.00,,1247059-005
5572.50,,1281426-654
5550.00,,1292072-005
5535.00,,1172539-005
5512.50,,1237407-305
5512.50,,1237407-311
5512.50,,1257109-005
5501.25,,1179554-005
5501.25,,1214566-005
5490.00,,1179490-005
5475.00,,1227860-005
5475.00,,1227862-005
5475.00,,1276186-011
5475.00,,1276186-012
5475.00,,1276186-013
5475.00,,1276186-014
5475.00,,1296745-005
5467.50,,1106916-005
5467.50,,1288731-005
5467.50,,1292471-011
5467.50,,1292471-012
5467.50,,1292471-013
5467.50,,1292471-015
5467.50,,1292471-016
5467.50,,1292471-017
5467.50,,1321612-005
5445.00,,1238032-005
5445.00,,1310536-005
5422.50,,1292065-005
5400.00,,1300307-2822
5400.00,,1300311-2819
5392.50,1,1106918-005
5377.50,1,1179551-666
5377.50,1,1179551-670
5362.50,1,1302438-005
5332.50,1,1179289-005
5332.50,1,1232948-005
5332.50,1,1232949-005
5306.25,1,1316624-005
5295.00,1,1314172-005
5291.25,1,1298366-005
5291.25,1,1298367-005
5287.50,1,1164082-005
5287.50,1,1298372-005
5287.50,1,1298373-005
5287.50,1,1298374-005
5280.00,,1235016-005
5280.00,,1283386-010
5280.00,,1283386-011
5280.00,,1283386-012
5280.00,,1283386-013
5265.00,,1292023-005
5257.50,1,1286345-005
5257.50,1,1323883-666
5250.00,1,1286462-666
5250.00,1,1286462-670
5250.00,1,1296750-005
5242.50,1,1316030-005
5190.00,,1190093-005
5178.75,1,1207423-2896
5178.75,1,1207423-2897
5178.75,1,1207424-2896
5178.75,1,1207424-2897
5175.00,1,1227856-005
5175.00,1,1227858-005
5175.00,1,1227868-005
5175.00,1,1299421-005
5167.50,1,1276318-011
5167.50,1,1276318-013
5148.75,1,1314785-670
5145.00,1,1178283-005
5145.00,1,1311926-005
5141.25,1,1310541-005
5130.00,,1217403-005
5100.00,1,1271155-005
5081.25,1,1318091-666
5062.50,1,1175645-005
5062.50,1,1223076-2896
5036.25,1,1217402-005
5025.00,1,1183543-011
5025.00,1,1183543-012
5025.00,1,1183543-013
5025.00,1,1183543-014
5025.00,1,1183543-015
5025.00,1,1299397-005
5002.50,1,1299250-005
4995.00,1,1208185-2820
4987.50,1,1286531-666
4987.50,1,1286531-670
4965.00,,1104676-005
4965.00,,1216814-005
4950.00,1,1261849-010
4950.00,1,1261849-011
4950.00,1,1261849-012
4950.00,1,1261849-013
4950.00,1,1286400-005
4927.50,1,1286429-2819
4916.25,1,1245726-005
4916.25,1,1313025-666
4912.50,1,1202632-005
4912.50,1,1311756-005
4908.75,,1240152-010
4908.75,,1240152-011
4908.75,,1240152-012
4908.75,,1240152-013
4908.75,,1240152-015
4908.75,,1256642-010
4908.75,,1256642-011
4908.75,,1256642-012
4908.75,,1256642-013
4908.75,,1256645-011
4908.75,,1256645-012
4908.75,,1256645-013
4908.75,,1256645-014
4908.75,,1284496-010
4908.75,,1284496-011
4908.75,,1284496-012
4908.75,,1284496-013
4908.75,,1284496-014
4908.75,,1284498-010
4908.75,,1284498-011
4908.75,,1284498-012
4908.75,,1284498-013
4908.75,,1284498-014
4903.50,,1217724-005
4901.25,,1206461-010
4901.25,,1206461-011
4901.25,,1206461-012
4901.25,,1206461-013
4897.50,,1214640-666
4897.50,,1214640-670
4886.25,1,1309281-005
4886.25,1,1309290-005
4867.50,,1282648-009
4867.50,,1282648-010
4867.50,,1282648-011
4867.50,,1282648-012
4860.00,,1214641-662
4860.00,,1214641-666
4841.25,,1298364-005
4841.25,,1298368-005
4841.25,,1298369-005
4830.00,,1283499-666
4822.50,,1205581-005
4788.75,,1313002-005
4785.00,,1190067-005
4777.50,,1318092-666
4766.25,,1317205-005
4762.50,,1202588-005
4751.25,,1071092-010
4751.25,,1071092-012
4751.25,,1071092-014
4751.25,,1071092-015
4751.25,,1071092-016
4747.50,,1107041-005
4740.00,,1286412-005
4732.50,,1276319-011
4732.50,,1276319-013
4725.00,,1256765-2822
4725.00,,1300256-005
4717.50,,1207974-011
4717.50,,1207974-012
4717.50,,1207974-013
4717.50,,1207974-014
4717.50,,1207974-015
4717.50,,1318097-005
4695.00,,1289569-005
4691.25,,1286347-005
4691.25,,1311927-005
4687.50,,1141365-666
4687.50,,1141365-670
4687.50,,1286533-666
4687.50,,1286533-670
4680.00,,1077491-005
4680.00,,1124440-005
4680.00,,1126746-666
4680.00,,1126746-670
4680.00,,1287346-010
4680.00,,1287346-011
4680.00,,1287346-012
4657.50,,1223077-2819
4657.50,,1223077-2820
4657.50,,1223077-2822
4650.00,,1285419-010
4650.00,,1285419-011
4650.00,,1285419-012
4650.00,,1285419-013
4650.00,,1292229-670
4650.00,,1300312-2819
4650.00,,1300312-2822
4650.00,,1319120-304
4650.00,,1319120-305
4650.00,,1319120-311
4644.00,,1278385-011
4644.00,,1278385-012
4644.00,,1278385-013
4644.00,,1278385-014
4644.00,,1278385-015
4644.00,,1278385-016
4642.50,1,1214930-005
4623.75,1,1241259-005
4623.75,1,1241260-005
4623.75,1,1303738-010
4623.75,1,1303738-011
4623.75,1,1303738-012
4623.75,1,1303738-013
4620.00,1,1237632-005
4612.50,1,1164092-005
4612.50,1,1256096-010
4612.50,1,1256096-011
4612.50,1,1256096-012
4612.50,1,1256096-013
4612.50,1,1256096-014
4612.50,1,1299423-005
4612.50,1,1308898-005
4608.75,,1187665-005
4608.75,,1187666-005
4608.75,,1280971-005
4605.00,,1207993-011
4605.00,,1207993-012
4605.00,,1207993-013
4605.00,,1207993-014
4605.00,,1207993-015
4597.50,,1188707-005
4590.00,,1256483-2822
4590.00,,1256483-2826
4590.00,,1286430-2820
4575.00,1,1233580-005
4575.00,1,1302419-005
4560.00,1,1311116-005
4545.00,1,1160789-654
4545.00,1,1238031-005
4533.75,,1298344-005
4522.50,,1187689-305
4522.50,,1187689-311
4507.50,1,1190069-005
4500.00,1,1299430-005
4500.00,1,1305133-2824
4500.00,1,1305135-2818
4500.00,1,1309589-668
4462.50,1,1299938-005
4462.50,1,1312215-005
4447.50,,1160800-005
4425.00,1,1215080-005
4425.00,1,1312217-005
4413.75,1,1289016-011
4413.75,1,1289016-012
4413.75,1,1289016-013
4413.75,1,1289016-014
4413.75,1,1289016-015
4398.75,1,1217388-005
4398.75,1,1299206-010
4398.75,1,1299206-011
4398.75,1,1299206-012
4398.75,1,1299206-013
4398.75,1,1299206-014
4398.75,1,1299206-015
4387.50,1,1164106-005
4387.50,1,1312218-005
4376.25,,1276138-670
4372.50,,1106891-005
4372.50,,1106936-005
4357.50,1,1286496-005
4357.50,1,1299235-005
4350.00,1,1301195-005
4350.00,1,1302436-005
4350.00,1,1313000-670
4350.00,1,1323435-005
4327.50,1,1309287-005
4320.00,1,1190082-666
4320.00,1,1190082-670
4320.00,1,1190083-666
4320.00,1,1190083-670
4320.00,1,1190084-666
4320.00,1,1190084-670
4320.00,1,1237588-005
4312.50,1,1302435-005
4305.00,,1103217-011
4305.00,,1103217-012
4305.00,,1103217-013
4305.00,,1103217-014
4305.00,,1103217-015
4305.00,,1103217-016
4275.00,1,1076875-005
4275.00,1,1244900-2816
4275.00,1,1256757-2819
4275.00,1,1256757-2822
4275.00,1,1286526-666
4275.00,1,1286526-670
4275.00,1,1286526-674
4252.50,1,1223099-005
4245.00,1,1254994-005
4245.00,1,1281423-005
4237.50,1,1281864-011
4237.50,1,1281864-012
4237.50,1,1281864-013
4237.50,1,1296755-005
4237.50,1,1308897-005
4230.00,,1211883-005
4222.50,,1177865-005
4222.50,,1228142-2896
4222.50,,1228142-2897
4200.00,1,1323884-005
4185.00,1,1187687-2819
4185.00,1,1187687-2822
4173.75,1,1321608-005
4170.00,1,1276184-011
4170.00,1,1276184-012
4170.00,1,1276184-014
4162.50,1,1227840-005
4162.50,1,1227841-005
4162.50,1,1296740-005
4158.75,,1233610-005
4155.00,,1242987-2822
4155.00,,1317899-2601
4140.00,,1216508-666
4140.00,,1235018-005
4132.50,1,1188693-005
4128.75,1,1298359-005
4113.75,,1290689-670
4113.75,,1317279-005
4110.00,,1237575-005
4110.00,,1237594-005
4095.00,,1275290-011
4095.00,,1275290-012
4095.00,,1275290-013
4095.00,,1275290-014
4095.00,,1287302-010
4095.00,,1287302-012
4095.00,,1287302-014
4095.00,,1287302-016
4095.00,,1318096-005
4091.25,,1298340-005
4087.50,,1161097-011
4087.50,,1161097-012
4087.50,,1161097-013
4087.50,,1161097-014
4087.50,,1161097-015
4087.50,,1304037-011
4087.50,,1304037-012
4087.50,,1304037-013
4080.00,,1254991-005
4080.00,,1275763-009
4080.00,,1275763-010
4080.00,,1275763-011
4080.00,,1275763-012
4080.00,,1275763-013
4080.00,,1275763-014
4080.00,,1275763-015
4080.00,,1317239-005
4080.00,,1320443-011
4080.00,,1320443-012
4080.00,,1320443-013
4080.00,,1320443-014
4080.00,,1320443-015
4080.00,,1320444-011
4080.00,,1320444-012
4080.00,,1320444-013
4080.00,,1320444-014
4080.00,,1320444-015
4076.25,,1088956-005
4072.50,,1160785-005
4065.00,,1202636-005
4065.00,,1214597-005
4050.00,,1300279-005
4035.00,,1137059-011
4035.00,,1137059-012
4035.00,,1137059-013
4035.00,,1137059-014
4035.00,,1137059-015
4027.50,,1214643-005
4027.50,,1298046-011
4027.50,,1298046-012
4027.50,,1298046-013
4027.50,,1327966-2896
4027.50,,1327966-2897
4020.00,,1160788-662
4005.00,,1205579-666
4005.00,,1241471-010
4005.00,,1241471-011
4005.00,,1241471-012
4005.00,,1241471-013
4005.00,,1241471-014
4005.00,,1241471-015
4005.00,,1266538-010
4005.00,,1266538-011
4005.00,,1266538-012
4005.00,,1266538-013
4005.00,,1266538-015
4001.25,,1240480-005
3996.75,,1217723-005
3982.50,,1284501-012
3982.50,,1284501-013
3982.50,,1284501-014
3982.50,,1284504-011
3982.50,,1284504-012
3982.50,,1284504-013
3982.50,,1284504-014
3982.50,,1286499-005
3975.00,,1155024-011
3975.00,,1155024-012
3975.00,,1155024-013
3975.00,,1155024-014
3975.00,,1237355-005
3975.00,,1302450-2816
3975.00,,1302450-2819
3967.50,,1298349-005
3963.75,,1298338-005
3960.00,,1151342-010
3960.00,,1151342-011
3960.00,,1151342-012
3960.00,,1151342-013
3960.00,,1151342-014
3960.00,,1151342-015
3960.00,,1217390-005
3956.25,,1287333-010
3956.25,,1287333-011
3956.25,,1287333-012
3956.25,,1287333-013
3956.25,,1287333-014
3956.25,,1287333-015
3945.00,,1305141-005
3937.50,,1296739-005
3930.00,,1205573-005
3930.00,,1205580-005
3918.75,,1291021-005
3918.75,,1297327-005
3918.75,,1297328-005
3918.75,,1304093-010
3918.75,,1304093-011
3918.75,,1304093-012
3918.75,,1304093-013
3911.25,,1256644-011
3911.25,,1256644-012
3911.25,,1256644-013
3911.25,,1256644-014
3911.25,,1309297-005
3903.75,,1291995-012
3903.75,,1291995-014
3903.75,,1291995-015
3903.75,,1291995-016
3903.75,,1309125-011
3903.75,,1309125-012
3903.75,,1309125-013
3903.75,,1309125-014
3903.75,,1309125-015
3903.75,,1309125-016
3900.00,,1190305-005
3881.25,1,1286344-005
3870.00,1,1289017-011
3870.00,1,1289017-012
3870.00,1,1289017-013
3870.00,1,1289017-014
3870.00,1,1289017-015
3862.50,1,1216819-005
3862.50,1,1281434-005
3862.50,1,1286397-005
3840.00,,1228385-005
3840.00,,934189-666
3840.00,,934189-668
3840.00,,934189-670
3836.25,1,1286784-005
3817.50,1,1299244-305
3817.50,1,1299244-311
3810.00,1,1232967-005
3806.25,1,1297329-005
3805.50,,1299208-010
3805.50,,1299208-011
3805.50,,1299208-012
3805.50,,1299208-013
3805.50,,1299208-014
3805.50,,1299208-015
3795.00,1,1251860-010
3795.00,1,1251860-011
3795.00,1,1251860-012
3795.00,1,1251860-013
3795.00,1,1251860-014
3795.00,1,1251860-015
3795.00,1,1317238-005
3787.50,1,1227838-005
3787.50,1,1227839-005
3787.50,1,1237405-005
3787.50,1,1302445-305
3787.50,1,1302463-304
3787.50,1,1302463-305
3787.50,1,1302463-311
3776.25,,1287334-010
3776.25,,1287334-011
3776.25,,1287334-012
3776.25,,1287334-013
3776.25,,1287334-014
3776.25,,1287334-015
3768.75,,1309296-005
3765.00,,1299248-005
3753.75,1,1151487-005
3750.00,1,1207419-2896
3750.00,1,1207419-2897
3750.00,1,1207420-2896
3750.00,1,1207420-2897
3746.25,,1063520-010
3746.25,,1063520-011
3746.25,,1063520-012
3746.25,,1063520-013
3746.25,,1063520-014
3746.25,,1063520-015
3746.25,,1258853-005
3735.00,,1106904-005
3735.00,,1259399-010
3735.00,,1259399-011
3735.00,,1259399-012
3735.00,,1259399-013
3720.00,,1228382-674
3716.25,,1231737-005
3712.50,,1237370-005
3712.50,,1244797-2822
3705.00,,1125191-662
3705.00,,1125191-666
3697.50,,1306542-011
3697.50,,1306542-012
3697.50,,1306542-013
3697.50,,1306542-014
3697.50,,1306542-015
3690.00,,1204436-010
3690.00,,1204436-011
3690.00,,1204436-012
3690.00,,1204436-013
3690.00,,1204436-014
3690.00,,1204436-015
3682.50,,1084514-010
3682.50,,1084514-011
3682.50,,1084514-012
3682.50,,1084514-013
3682.50,,1084514-014
3682.50,,1084514-015
3675.00,,1202928-009
3675.00,,1202928-010
3675.00,,1202928-011
3675.00,,1202928-012
3675.00,,1202928-013
3675.00,,1202928-014
